ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,VACCINECODE,VACCINE_DESCRIPTION,SCHEDULEROUNDS,TARGETPOP,TARGETPOP_DESCRIPTION,GEOAREA,AGEADMINISTERED,AGEADMINISTERED_MONTHS
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,1.0
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,
ABW,Aruba,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,Unknown,General/routine,NATIONAL,M1,1.0
ABW,Aruba,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,2.0,Unknown,General/routine,NATIONAL,M3,3.0
ABW,Aruba,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,3.0,Unknown,General/routine,NATIONAL,M9,9.0
ABW,Aruba,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y11,132.0
ABW,Aruba,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,6.0
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,Not Specified,
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,1st contact,
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,
ABW,Aruba,AMRO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,Not Specified,
ABW,Aruba,AMRO,2023.0,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,
ABW,Aruba,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,Unknown,General/routine,NATIONAL,M12,12.0
ABW,Aruba,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,Unknown,General/routine,NATIONAL,Y4,48.0
ABW,Aruba,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
ABW,Aruba,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
ABW,Aruba,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,Unknown,General/routine,NATIONAL,M12,12.0
ABW,Aruba,AMRO,2023.0,VARICELLA,Varicella vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>=Y1,
ABW,Aruba,AMRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,
AFG,Afghanistan,EMRO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,Unknown,General/routine,NATIONAL,B,
AFG,Afghanistan,EMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,Unknown,General/routine,NATIONAL,W6,
AFG,Afghanistan,EMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,Unknown,General/routine,NATIONAL,W10,
AFG,Afghanistan,EMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,Unknown,General/routine,NATIONAL,W14,
AFG,Afghanistan,EMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,Unknown,General/routine,NATIONAL,B,
AFG,Afghanistan,EMRO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,Unknown,General/routine,NATIONAL,W14,
AFG,Afghanistan,EMRO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,Unknown,General/routine,NATIONAL,M9,9.0
AFG,Afghanistan,EMRO,2023.0,MEASLES,Measles vaccine,1.0,Unknown,General/routine,NATIONAL,M9,9.0
AFG,Afghanistan,EMRO,2023.0,MEASLES,Measles vaccine,2.0,Unknown,General/routine,NATIONAL,M18,18.0
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),1.0,Unknown,General/routine,NATIONAL,B,
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),2.0,Unknown,General/routine,NATIONAL,W6,
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),3.0,Unknown,General/routine,NATIONAL,W10,
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),4.0,Unknown,General/routine,NATIONAL,W14,
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),5.0,Unknown,General/routine,NATIONAL,M9,9.0
AFG,Afghanistan,EMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,W6,
AFG,Afghanistan,EMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,W10,
AFG,Afghanistan,EMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,Unknown,General/routine,NATIONAL,W14,
AFG,Afghanistan,EMRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,W6,
AFG,Afghanistan,EMRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,W10,
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,1.0
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,6.0
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,ADULTS,Adults,NATIONAL,+Y1,12.0
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,ADULTS,Adults,NATIONAL,+Y1,12.0
AGO,Angola,AFRO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,Unknown,General/routine,NATIONAL,B,
AGO,Angola,AFRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
AGO,Angola,AFRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
AGO,Angola,AFRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,Unknown,General/routine,NATIONAL,M6,6.0
AGO,Angola,AFRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,Unknown,General/routine,NATIONAL,B,
AGO,Angola,AFRO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,Unknown,General/routine,NATIONAL,M4,4.0
AGO,Angola,AFRO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,Unknown,General/routine,NATIONAL,M9,9.0
AGO,Angola,AFRO,2023.0,MR,MR (Measles and rubella) vaccine,1.0,Unknown,General/routine,NATIONAL,M9,9.0
AGO,Angola,AFRO,2023.0,MR,MR (Measles and rubella) vaccine,2.0,Unknown,General/routine,NATIONAL,M15,15.0
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),1.0,Unknown,General/routine,NATIONAL,B,
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),2.0,Unknown,General/routine,NATIONAL,M2,2.0
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),3.0,Unknown,General/routine,NATIONAL,M4,4.0
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),4.0,Unknown,General/routine,NATIONAL,M6,6.0
AGO,Angola,AFRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
AGO,Angola,AFRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
AGO,Angola,AFRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,Unknown,General/routine,NATIONAL,M6,6.0
AGO,Angola,AFRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
AGO,Angola,AFRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+M1,1.0
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6,6.0
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,PW,Pregnant women,NATIONAL,+Y1,12.0
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,PW,Pregnant women,NATIONAL,+Y1,12.0
AGO,Angola,AFRO,2023.0,TT,TT (Tetanus toxoid) vaccine,1.0,ADULTS,Adults,NATIONAL,Y15-Y49,
AGO,Angola,AFRO,2023.0,VITAMINA,Vitamin A supplements,1.0,Unknown,General/routine,NATIONAL,M6,6.0
AGO,Angola,AFRO,2023.0,VITAMINA,Vitamin A supplements,2.0,Unknown,General/routine,NATIONAL,M9,9.0
AGO,Angola,AFRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,Unknown,General/routine,NATIONAL,M9,9.0
AIA,Anguilla,AMRO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,Unknown,General/routine,NATIONAL,B,
AIA,Anguilla,AMRO,2023.0,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_W,General/routine,NATIONAL,M18,18.0
AIA,Anguilla,AMRO,2023.0,DTWP,DTwP (Whole cell) vaccine,5.0,B_CHILD_W,General/routine,NATIONAL,Y4-Y5,
AIA,Anguilla,AMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
AIA,Anguilla,AMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
AIA,Anguilla,AMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,Unknown,General/routine,NATIONAL,M6,6.0
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,1.0
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,6.0
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M6,6.0
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,1.0
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,
AIA,Anguilla,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,Unknown,General/routine,NATIONAL,B,
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_A,Catch-up adults,NATIONAL,<Y25,
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_C,Catch-up children,NATIONAL,<Y25,
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,BOTH,HPV administered to females and males,NATIONAL,Y9-15,
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,Unknown,General/routine,NATIONAL,>Y18,
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,Not Specified,
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,Not Specified,
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,Not Specified,
AIA,Anguilla,AMRO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,Unknown,General/routine,NATIONAL,>=M6,
AIA,Anguilla,AMRO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,Unknown,General/routine,NATIONAL,M2,2.0
AIA,Anguilla,AMRO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,Unknown,General/routine,NATIONAL,M4,4.0
AIA,Anguilla,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,Unknown,General/routine,NATIONAL,Y1,12.0
AIA,Anguilla,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,Unknown,General/routine,NATIONAL,Y2,24.0
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),3.0,Unknown,General/routine,NATIONAL,M6,6.0
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),4.0,Unknown,General/routine,NATIONAL,M18,18.0
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),5.0,Unknown,General/routine,NATIONAL,Y4-Y5,
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),6.0,Unknown,General/routine,NATIONAL,Y15,180.0
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,Unknown,General/routine,NATIONAL,M6,6.0
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,4.0,Unknown,General/routine,NATIONAL,M18,18.0
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y15,180.0
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+W4,
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6-Y1,
AIA,Anguilla,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,RISKGROUPS,Risk group(s),NATIONAL,>Y4,
AIA,Anguilla,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,TRAVELLERS,Travellers,NATIONAL,Not Specified,
AIA,Anguilla,AMRO,2023.0,VARICELLA,Varicella vaccine,1.0,Unknown,General/routine,NATIONAL,M15,15.0
AIA,Anguilla,AMRO,2023.0,VARICELLA,Varicella vaccine,2.0,Unknown,General/routine,NATIONAL,Y4-Y5,
AIA,Anguilla,AMRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,
ALB,Albania,EURO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,Unknown,General/routine,NATIONAL,B,
ALB,Albania,EURO,2023.0,DT,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",5.0,B_CHILD_W,General/routine,NATIONAL,Y6,72.0
ALB,Albania,EURO,2023.0,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_F,General/routine,NATIONAL,Y2,24.0
ALB,Albania,EURO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
ALB,Albania,EURO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
ALB,Albania,EURO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,Unknown,General/routine,NATIONAL,M6,6.0
ALB,Albania,EURO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,Unknown,General/routine,NATIONAL,B,
ALB,Albania,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y13,156.0
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>Y18,
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,Not Specified,
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,Not Specified,
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,Not Specified,
ALB,Albania,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,2.0,Unknown,General/routine,NATIONAL,>Y9,
ALB,Albania,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,Unknown,General/routine,NATIONAL,M6-Y9,
ALB,Albania,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,Not Specified,
ALB,Albania,EURO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,Unknown,General/routine,NATIONAL,M2,2.0
ALB,Albania,EURO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,Unknown,General/routine,NATIONAL,M4,4.0
ALB,Albania,EURO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,Unknown,General/routine,NATIONAL,Y1,12.0
ALB,Albania,EURO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,Unknown,General/routine,NATIONAL,Y5,60.0
ALB,Albania,EURO,2023.0,OPV,OPV (Oral polio vaccine),3.0,Unknown,General/routine,NATIONAL,M6,6.0
ALB,Albania,EURO,2023.0,OPV,OPV (Oral polio vaccine),4.0,Unknown,General/routine,NATIONAL,Y2,24.0
ALB,Albania,EURO,2023.0,OPV,OPV (Oral polio vaccine),5.0,Unknown,General/routine,NATIONAL,Y6,72.0
ALB,Albania,EURO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
ALB,Albania,EURO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
ALB,Albania,EURO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,Unknown,General/routine,NATIONAL,M12,12.0
ALB,Albania,EURO,2023.0,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
ALB,Albania,EURO,2023.0,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
ALB,Albania,EURO,2023.0,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,3.0,Unknown,General/routine,NATIONAL,M6,6.0
ALB,Albania,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,Y18,216.0
ALB,Albania,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y13,156.0
AND,Andorra,EURO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
AND,Andorra,EURO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
AND,Andorra,EURO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,3.0,Unknown,General/routine,NATIONAL,M12,12.0
AND,Andorra,EURO,2023.0,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y12,144.0
AND,Andorra,EURO,2023.0,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,6.0
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>=Y65,
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,Not Specified,
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,Not Specified,
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,Not Specified,
AND,Andorra,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,Not Specified,
AND,Andorra,EURO,2023.0,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,Unknown,General/routine,NATIONAL,M15,15.0
AND,Andorra,EURO,2023.0,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,2.0,Unknown,General/routine,NATIONAL,Y12,144.0
AND,Andorra,EURO,2023.0,MEN_B,Meningococcal B vaccine,1.0,Unknown,General/routine,NATIONAL,M2,2.0
AND,Andorra,EURO,2023.0,MEN_B,Meningococcal B vaccine,2.0,Unknown,General/routine,NATIONAL,M4,4.0
AND,Andorra,EURO,2023.0,MEN_B,Meningococcal B vaccine,3.0,Unknown,General/routine,NATIONAL,M13,13.0
AND,Andorra,EURO,2023.0,MEN_C_CONJ,Meningococcal C conjugate vaccine,1.0,Unknown,General/routine,NATIONAL,M4,4.0
AND,Andorra,EURO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,Unknown,General/routine,NATIONAL,M12,12.0
AND,Andorra,EURO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,Unknown,General/routine,NATIONAL,Y3,36.0
AND,Andorra,EURO,2023.0,MPOX,Mpox (monkeypox) vaccine,1.0,HW,Health workers,NATIONAL,1st contact,
AND,Andorra,EURO,2023.0,MPOX,Mpox (monkeypox) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,
